,repository_name,languages
77,ml-flair,ml-flair
78,ml-gaudi,ml-gaudi
79,ml-gmpi,ml-gmpi
80,ml-gsn,ml-gsn
81,ml-heart-rate-models,ml-heart-rate-models
82,ml-hierarchical-confusion-matrix,ml-hierarchical-confusion-matrix
83,ml-hypersim,ml-hypersim
84,ml-interspeech2022-phi_rtn,ml-interspeech2022-phi_rtn
85,ml-knowledge-conflicts,ml-knowledge-conflicts
86,ml-live-pose,ml-live-pose
87,ml-mkqa,ml-mkqa
88,ml-mobileone,ml-mobileone
89,ml-multiple-futures-prediction,ml-multiple-futures-prediction
90,ml-ncg,ml-ncg
91,ml-neilf,ml-neilf
92,ml-neilfpp,ml-neilfpp
93,ml-neuman,ml-neuman
94,ml-no-token-left-behind,ml-no-token-left-behind
95,ml-pointconvformer,ml-pointconvformer
96,ml-pointersect,ml-pointersect
97,ml-probabilistic-attention,ml-probabilistic-attention
98,ml-projunit,ml-projunit
99,ml-qrecc,ml-qrecc
100,ml-quant,ml-quant
101,ml-robust-expert-augmentations,ml-robust-expert-augmentations
102,ml-sad,ml-sad
103,ml-selfcond,ml-selfcond
104,ml-shuffling-amplification,ml-shuffling-amplification
105,ml-spatial-librispeech,ml-spatial-librispeech
106,ml-spin,ml-spin
107,ml-stable-diffusion,ml-stable-diffusion
108,ml-stuttering-events-dataset,ml-stuttering-events-dataset
109,ml-symphony,ml-symphony
110,ml-tract,ml-tract
111,ml-transcript-translation-consistency-ratings,ml-transcript-translation-consistency-ratings
112,ml-translate-vis,ml-translate-vis
113,ml-tree-dst,ml-tree-dst
114,ml-tune-mode-convbn,ml-tune-mode-convbn
115,ml-upscale,ml-upscale
116,ml-uwac,ml-uwac
117,ml-vfi-smiff,ml-vfi-smiff
118,openjdk,openjdk
119,password-manager-resources,password-manager-resources
120,sample-backyard-birds,sample-backyard-birds
121,sample-cloudkit-coredatasync,sample-cloudkit-coredatasync
122,sample-cloudkit-encryption,sample-cloudkit-encryption
123,sample-cloudkit-privatedb,sample-cloudkit-privatedb
124,sample-cloudkit-privatedb-sync,sample-cloudkit-privatedb-sync
125,sample-cloudkit-queries,sample-cloudkit-queries
126,sample-cloudkit-sharing,sample-cloudkit-sharing
127,sample-cloudkit-sync-engine,sample-cloudkit-sync-engine
128,sample-cloudkit-tooling,sample-cloudkit-tooling
129,sample-cloudkit-zonesharing,sample-cloudkit-zonesharing
130,sample-food-truck,sample-food-truck
131,servicetalk,servicetalk
132,sourcekit-lsp,sourcekit-lsp
133,swift,swift
134,swift-3-api-guidelines-review,swift-3-api-guidelines-review
135,swift-algorithms,swift-algorithms
136,swift-argument-parser,swift-argument-parser
137,swift-asn1,swift-asn1
138,swift-async-algorithms,swift-async-algorithms
139,swift-atomics,swift-atomics
140,swift-book,swift-book
141,swift-cassandra-client,swift-cassandra-client
142,swift-certificates,swift-certificates
143,swift-clang,swift-clang
144,swift-clang-tools-extra,swift-clang-tools-extra
145,swift-cluster-membership,swift-cluster-membership
146,swift-cmake-examples,swift-cmake-examples
147,swift-cmark,swift-cmark
148,swift-collections,swift-collections
149,swift-collections-benchmark,swift-collections-benchmark
150,swift-community-hosted-continuous-integration,swift-community-hosted-continuous-integration
151,swift-compiler-rt,swift-compiler-rt
152,swift-corelibs-foundation,swift-corelibs-foundation
153,swift-corelibs-libdispatch,swift-corelibs-libdispatch
154,swift-corelibs-xctest,swift-corelibs-xctest
155,swift-crypto,swift-crypto
156,swift-distributed-actors,swift-distributed-actors
157,swift-distributed-tracing,swift-distributed-tracing
158,swift-distributed-tracing-baggage-core,swift-distributed-tracing-baggage-core
159,swift-distributed-tracing-extras,swift-distributed-tracing-extras
160,swift-docc,swift-docc
161,swift-docc-plugin,swift-docc-plugin
162,swift-docc-render,swift-docc-render
163,swift-docc-render-artifact,swift-docc-render-artifact
164,swift-docc-symbolkit,swift-docc-symbolkit
165,swift-docker,swift-docker
166,swift-driver,swift-driver
167,swift-evolution,swift-evolution
168,swift-evolution-staging,swift-evolution-staging
169,swift-experimental-string-processing,swift-experimental-string-processing
170,swift-format,swift-format
171,swift-foundation,swift-foundation
172,swift-foundation-icu,swift-foundation-icu
173,swift-getting-started-cli,swift-getting-started-cli
174,swift-getting-started-package-library,swift-getting-started-package-library
175,swift-http-structured-headers,swift-http-structured-headers
176,swift-http-types,swift-http-types
177,swift-installer-scripts,swift-installer-scripts
178,swift-integration-tests,swift-integration-tests
179,swift-internals,swift-internals
180,swift-issues,swift-issues
181,swift-libcxx,swift-libcxx
182,swift-llbuild,swift-llbuild
183,swift-llbuild2,swift-llbuild2
184,swift-lldb,swift-lldb
185,swift-llvm,swift-llvm
186,swift-llvm-bindings,swift-llvm-bindings
187,swift-lmdb,swift-lmdb
188,swift-log,swift-log
189,swift-markdown,swift-markdown
190,swift-metrics,swift-metrics
191,swift-metrics-extras,swift-metrics-extras
192,swift-nio,swift-nio
193,swift-nio-examples,swift-nio-examples
194,swift-nio-extras,swift-nio-extras
195,swift-nio-http2,swift-nio-http2
196,swift-nio-imap,swift-nio-imap
197,swift-nio-nghttp2-support,swift-nio-nghttp2-support
198,swift-nio-ssh,swift-nio-ssh
199,swift-nio-ssl,swift-nio-ssl
200,swift-nio-ssl-support,swift-nio-ssl-support
201,swift-nio-transport-services,swift-nio-transport-services
202,swift-nio-zlib-support,swift-nio-zlib-support
203,swift-numerics,swift-numerics
204,swift-openapi-generator,swift-openapi-generator
205,swift-openapi-runtime,swift-openapi-runtime
206,swift-openapi-urlsession,swift-openapi-urlsession
207,swift-org-website,swift-org-website
208,swift-package-collection-generator,swift-package-collection-generator
209,swift-package-manager,swift-package-manager
210,swift-package-registry-compatibility-test-suite,swift-package-registry-compatibility-test-suite
211,swift-protobuf,swift-protobuf
212,swift-protobuf-plugin,swift-protobuf-plugin
213,swift-protobuf-test-conformance,swift-protobuf-test-conformance
214,swift-sample-distributed-actors-transport,swift-sample-distributed-actors-transport
215,swift-sdk-generator,swift-sdk-generator
216,swift-se0270-range-set,swift-se0270-range-set
217,swift-se0288-is-power,swift-se0288-is-power
218,swift-service-context,swift-service-context
219,swift-service-discovery,swift-service-discovery
220,swift-source-compat-suite,swift-source-compat-suite
221,swift-standard-library-preview,swift-standard-library-preview
222,swift-statsd-client,swift-statsd-client
223,swift-stress-tester,swift-stress-tester
224,swift-syntax,swift-syntax
225,swift-system,swift-system
226,swift-testing,swift-testing
227,swift-tools-support-async,swift-tools-support-async
228,swift-tools-support-core,swift-tools-support-core
229,swift-xcode-playground-support,swift-xcode-playground-support
230,swiftpm-on-llbuild2,swiftpm-on-llbuild2
231,tensorflow_macos,tensorflow_macos
232,turicreate,turicreate
233,unityplugins,unityplugins
234,VideoFlashingReduction,VideoFlashingReduction
235,vqg-multimodal-assistant,vqg-multimodal-assistant
